id_an,nom,prenom,sexe,num_dep,num_circo,groupe,email1,email2,email3,adresse_tel,sites_web,twitter,url_an,url_nosdeputes
720704,Vichnievsky,Laurence,F,63,3,MODEM,laurence.vichnievsky@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.67.57|Permanence parlementaire 32 Rue Amadéo 63000 Clermont-Ferrand Téléphone : 04.73.36.84.27",https://twitter.com/Lvichnievsky|https://fr-fr.facebook.com/laurencevichnievsky/|https://fr.wikipedia.org/wiki/Laurence_Vichnievsky,Lvichnievsky,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720704,https://www.nosdeputes.fr/laurence-vichnievsky
998,Dassault,Olivier,H,60,1,LR,olivier.dassault@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 11 Boulevard Amyot-d'Inville 60000 Beauvais Téléphone : 03 44 45 78 48",http://www.olivierdassault.fr|https://fr-fr.facebook.com/olivier.dassault/|https://twitter.com/ODassault,ODassault,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA998,https://www.nosdeputes.fr/olivier-dassault
720242,Abba,Bérangère,F,52,1,LREM,berangere.abba@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.74.16",https://twitter.com/b_abba|https://fr-fr.facebook.com/berangere.abba/|http://www.berangereabba.fr,b_abba,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720242,https://www.nosdeputes.fr/berangere-abba
722312,Bessot Ballot,Barbara,F,70,1,LREM,barbara.bessotballot@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/BessotBallot2017/|http://www.barbarabessotballot.fr|https://twitter.com/B_BessotBallot|https://fr-fr.facebook.com/barbarabessotballotlegislatives2017,B_BessotBallot,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722312,https://www.nosdeputes.fr/barbara-bessot-ballot
720878,Saint-Martin,Laurent,H,94,3,LREM,laurent.saint-martin@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 0140636352|Permanence parlementaire 1 Rue de Paris 94470 Boissy-Saint-Léger",http://lsm2017.fr|http://laurentsaintmartin.fr|https://twitter.com/LauStmartin,LauStmartin,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720878,https://www.nosdeputes.fr/laurent-saint-martin
720622,Bureau-Bonnard,Carole,F,60,6,LREM,carole.bureau-bonnard@assemblee-nationale.fr,,,"Permanence parlementaire 59 Boulevard Carnot 60400 Noyon|Permanence parlementaire 3 Cours Guynemer 60200 Compiègne|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/CaroleBureauBonnardOise/|https://twitter.com/CaroleBBonnard,CaroleBBonnard,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720622,https://www.nosdeputes.fr/carole-bureau-bonnard
719388,Le Meur,Annaïg,F,29,1,LREM,annaig.lemeur@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 5 Bis Venelle de Kergos 29000 Quimper Téléphone : 02 29 20 29 50",https://www.AnnaigLeMeur.bzh|https://twitter.com/AnnaigLeMeur_AN,AnnaigLeMeur_AN,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719388,https://www.nosdeputes.fr/annaig-le-meur
335612,Lecoq,Jean-Paul,H,76,8,GDR,jean-paul.lecoq@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|12 Rue Michel Gautier 76600 Le Havre",http://jeanpaul-lecoq.fr|https://fr-fr.facebook.com/jplecoq76/,,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA335612,https://www.nosdeputes.fr/jean-paul-lecoq
720190,Sorre,Bertrand,H,50,2,LREM,bertrand.sorre@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 62 Rue Ampère 50380 Saint-Pair sur Mer Téléphone : 06 85 39 10 11",https://fr-fr.facebook.com/bertrandsorrecandidat/|https://twitter.com/BertrandSorre,BertrandSorre,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720190,https://www.nosdeputes.fr/bertrand-sorre
610667,Serville,Gabriel,H,973,1,GDR,gabriel.serville@assemblee-nationale.fr,gabriel.serville@orange.fr,,Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,http://www.gabrielserville.com|https://fr-fr.facebook.com/GabrielServille/|https://twitter.com/GabrielServille,GabrielServille,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA610667,https://www.nosdeputes.fr/gabriel-serville
722046,Bergé,Aurore,F,78,10,LREM,aurore.berge@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://auroreberge2017.fr|https://fr-fr.facebook.com/Aurore-Bergé-39829403685/|https://twitter.com/auroreberge|http://www.auroreberge.fr,auroreberge,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722046,https://www.nosdeputes.fr/aurore-berge
720652,Duvergé,Bruno,H,62,1,MODEM,bruno.duverge@assemblee-nationale.fr,permanence@brunoduverge.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 34 Route Nationale 62121 Ervillers Téléphone : 03 91 19 80 23",https://fr-fr.facebook.com/people/Bruno-Duvergé/100008520227262/|https://twitter.com/BrunoDuverge|https://fr-fr.facebook.com/Bruno Duvergé,BrunoDuverge,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720652,https://www.nosdeputes.fr/bruno-duverge
722268,Wonner,Martine,F,67,4,LREM,martine.wonner@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.03.10",https://www.martinewonner.fr|https://twitter.com/MartineWonner,MartineWonner,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722268,https://www.nosdeputes.fr/martine-wonner
333818,Hutin,Christian,H,59,13,SOC,christian.hutin@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Cabinet parlementaire 15 Rue du Jeu de Paume 59140 Dunkerque",https://twitter.com/ChristianHutin,ChristianHutin,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA333818,https://www.nosdeputes.fr/christian-hutin
2828,Tourret,Alain,H,14,6,LREM,alain.tourret@assemblee-nationale.fr,ag@alaintourret.org,,"Assemblée nationale 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 6 Rue Pierre Cingal 14370 Moult Téléphone : 02 31 50 65 25",http://www.alaintourret.fr|https://twitter.com/AlainTourret,AlainTourret,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA2828,https://www.nosdeputes.fr/alain-tourret
607619,Molac,Paul,H,56,4,LT,paul.molac@assemblee-nationale.fr,,,"Permanence parlementaire 26 Place de la Mairie 56800 Ploërmel Téléphone : 02 97 70 61 72|Assemblée nationale, 126 Rue de l'Université, 75355 PARIS 07 SP",http://paulmolac.bzh|https://fr-fr.facebook.com/paulmolac/|https://twitter.com/paul_molac|http://paulmolac.bzh/legislatives2017,paul_molac,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA607619,https://www.nosdeputes.fr/paul-molac
719616,Euzet,Christophe,H,34,7,LREM,christophe.euzet@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 04.67.43.77.28",https://fr-fr.facebook.com/C.Euzet.LREM/|https://twitter.com/ChristopheEuzet|http://christophe-euzet.com,ChristopheEuzet,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719616,https://www.nosdeputes.fr/christophe-euzet
718962,Zulesi,Jean-Marc,H,13,8,LREM,jean-marc.zulesi@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/jmzulesi|http://www.jeanmarczulesi.fr|https://fr-fr.facebook.com/jmzulesi/,jmzulesi,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718962,https://www.nosdeputes.fr/jean-marc-zulesi
605036,Abad,Damien,H,01,5,LR,damien.abad@assemblee-nationale.fr,contact@damien-abad.fr,,Permanence parlementaire d'Oyonnax 158 Rue Anatole-France 01100 Oyonnax Téléphone : 04 74 75 54 48|Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,http://www.damienabad.fr|https://twitter.com/damienabad,damienabad,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605036,https://www.nosdeputes.fr/damien-abad
719006,Le Vigoureux,Fabrice,H,14,1,LREM,fabrice.levigoureux@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 6 Rue Sadi-Carnot BP 8042 14000 Caen Cedex 01 Téléphone : 02 31 15 61 95",https://fr-fr.facebook.com/LeVigoureuxF/|https://twitter.com/LeVigoureuxF,LeVigoureuxF,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719006,https://www.nosdeputes.fr/fabrice-le-vigoureux
333421,Pancher,Bertrand,H,55,1,LT,bpancher.depute@orange.fr,bertrand.pancher@assemblee-nationale.fr,,"Permanence parlementaire 12 Rue Jean Errard 55000 Bar-le-Duc Téléphone : 03 29 70 69 76|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/BertrandPancher|http://www.bertrandpancher.fr|https://fr-fr.facebook.com/bertrand.pancher/|http://www.bertrandpancher.com,BertrandPancher,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA333421,https://www.nosdeputes.fr/bertrand-pancher
720520,Cattelot,Anne-Laure,F,59,12,LREM,anne-laure.cattelot@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://bit.ly/2pOdUqR|http://annelaurecattelot.fr|https://twitter.com/ALCattelot,ALCattelot,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720520,https://www.nosdeputes.fr/anne-laure-cattelot
718978,Laqhila,Mohamed,H,13,11,MODEM,mohamed.laqhila@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://laqhila11.com|https://twitter.com/laqhila|https://fr-fr.facebook.com/laqhila11/,laqhila,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718978,https://www.nosdeputes.fr/mohamed-laqhila
719052,Kervran,Loïc,H,18,3,LREM,loic.kervran@assemblee-nationale.fr,,,"Assemblée nationale 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.76.62",https://twitter.com/LoicKervran18|https://fr-fr.facebook.com/facebook.com/LoicKervran18/,LoicKervran18,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719052,https://www.nosdeputes.fr/loic-kervran
605518,Lambert,François-Michel,H,13,10,LT,francois-michel.lambert@assemblee-nationale.fr,,,Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP|Permanence parlementaire 6 Place de la Liberté 13120 Gardanne Téléphone : 09 50 26 19 79,https://twitter.com/fm_lambert|http://fmlambert.fr|http://www.fmlambert2017.fr,fm_lambert,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605518,https://www.nosdeputes.fr/francois-michel-lambert
720108,Oppelt,Valérie,F,44,2,LREM,valerie.oppelt@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 21 Rue Cornulier 44000 Nantes",https://fr-fr.facebook.com/oppeltvalerie/|https://twitter.com/valerie_oppelt|http://www.valerie-oppelt.fr,valerie_oppelt,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720108,https://www.nosdeputes.fr/valerie-oppelt
643127,Questel,Bruno,H,27,4,LREM,bruno.questel@assemblee-nationale.fr,bruno.questel@eure.fr,,"29 Place de la République 27400 Louviers Téléphone : 02 32 59 56 11|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01 40 63 60 25",http://www.brunoquestel.fr|https://twitter.com/BQuestel,BQuestel,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA643127,https://www.nosdeputes.fr/bruno-questel
720256,Bannier,Géraldine,F,53,2,MODEM,geraldine.bannier@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.geraldinebannier.fr|https://twitter.com/Bannier_G|https://fr-fr.facebook.com/geraldine.bannier.1/|http://www.geraldinebanier.fr,Bannier_G,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720256,https://www.nosdeputes.fr/geraldine-bannier
330008,Breton,Xavier,H,01,1,LR,contact@xavierbreton.fr,xavier.breton@assemblee-nationale.fr,,"27 Rue du Docteur Hudellet 01000 Bourg-en-Bresse Téléphone : 04 74 45 02 11|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.xavierbreton.fr|https://twitter.com/bretonxavier|https://fr-fr.facebook.com/xavierbreton01/,bretonxavier,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA330008,https://www.nosdeputes.fr/xavier-breton
719866,Abadie,Caroline,F,38,8,LREM,caroline.abadie@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/caroline.abadie.16/|https://twitter.com/AbadieCaroline|http://www.abadiecaroline.fr,AbadieCaroline,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719866,https://www.nosdeputes.fr/caroline-abadie
720586,Vatin,Pierre,H,60,5,LR,pierre.vatin@assemblee-nationale.fr,,,"Permanence Impasse d'Angoulême 60350 Courtieux Téléphone : 03 44 42 19 78|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/pierrevatin/,,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720586,https://www.nosdeputes.fr/pierre-vatin
718910,Pitollat,Claire,F,13,2,LREM,claire.pitollat@en-marche.fr,claire.pitollat@assemblee-nationale.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/clairepitollat|http://www.claire-pitollat.fr|https://fr-fr.facebook.com/clairepitollat/|http://www.clairepitollat.fr,clairepitollat,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718910,https://www.nosdeputes.fr/claire-pitollat
695100,Habib,Meyer,H,999,8,UAI,meyer.habib@assemblee-nationale.fr,,,Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,http://www.meyerhabib.com|https://twitter.com/Meyer_Habib,Meyer_Habib,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA695100,https://www.nosdeputes.fr/meyer-habib
266797,Gosselin,Philippe,H,50,1,LR,philippe.gosselin@assemblee-nationale.fr,philippegosselin50@orange.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 45 Route de Villedieu 50000 Saint-Lô Téléphone : 02 33 05 05 50",http://www.philippegosselin.fr|https://twitter.com/phgosselin|https://fr-fr.facebook.com/phgosselin/,phgosselin,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA266797,https://www.nosdeputes.fr/philippe-gosselin
720746,Waserman,Sylvain,H,67,2,MODEM,sylvain.waserman@assemblee-nationale.fr,,,"68 Route de l’Hôpital 67100 Strasbourg Téléphone : 03 88 39 73 41|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01 40 63 51 73",https://twitter.com/SylvainWaserman|http://www.sylvainwaserman.fr|https://fr-fr.facebook.com/wasermansylvain/|http://www.sylvainwaserman.com,SylvainWaserman,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720746,https://www.nosdeputes.fr/sylvain-waserman
721644,Kokouendo,Rodrigue,H,77,7,LREM,rodrigue.kokouendo@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.rodrigue-kokouendo.fr|https://twitter.com/RKokouendoJ|https://fr-fr.facebook.com/RKOKOUENDO/|https://fr-fr.facebook.com/rodrigue.kokouendo,RKokouendoJ,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721644,https://www.nosdeputes.fr/rodrigue-kokouendo
720900,Rilhac,Cécile,F,95,3,LREM,cecile.rilhac@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.95.10|55 Boulevard du Havre 95220 Herblay",https://twitter.com/Cecile_Rilhac|https://fr-fr.facebook.com/profile.php?id=100017133168739/|http://cecile-rilhac.fr,Cecile_Rilhac,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720900,https://www.nosdeputes.fr/cecile-rilhac
335054,Karamanli,Marietta,F,72,2,SOC,marietta.karamanli@assemblee-nationale.fr,contact@mariettakaramanli.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence en circonscription 39 Rue Evrard 72100 Le Mans Téléphone : 02 43 86 91 91",http://www.mariettakaramanli.fr|https://fr-fr.facebook.com/MariettaKaramanli/|https://twitter.com/MKaramanli72,MKaramanli72,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA335054,https://www.nosdeputes.fr/marietta-karamanli
642764,Aviragnet,Joël,H,31,8,SOC,joel.aviragnet@assemblee-nationale.fr,joelaviragnet@gmail.com,,Permanence parlementaire 5 Place Jean Jaurès 31800 Saint-Gaudens Téléphone : 05 62 00 80 80|Assemblée nationale 126 Rue de l'Université 75355 Paris 07 SP,https://fr-fr.facebook.com/profile.php?id=100001391067319/|http://www.joelaviragnet.com|https://twitter.com/JAviragnet|http://joelaviragnet2018.fr,JAviragnet,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642764,https://www.nosdeputes.fr/joel-aviragnet
330909,Descoeur,Vincent,H,15,1,LR,vincent.descoeur@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence parlementaire 24 Rue Paul Doumer 15000 Aurillac Téléphone : 04 71 47 41 87",https://twitter.com/VincentDescoeur|http://www.descoeur.com,VincentDescoeur,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA330909,https://www.nosdeputes.fr/vincent-descoeur
721784,Gomez-Bassac,Valérie,F,83,6,LREM,valerie.gomez-bassac@assemblee-nationale.fr,valerie.gomez-bassac@en-marche.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://fr-fr.facebook.com/Gomez.Bassac.Valerie/|https://twitter.com/VGB83|http://www.valerie.gomez-bassac.fr,VGB83,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721784,https://www.nosdeputes.fr/valerie-gomez-bassac
1695,Jacob,Christian,H,77,4,LR,christian.jacob@assemblee-nationale.fr,,,"4 Rue Hugues Le Grand 77160 Provins Téléphone : 01 64 60 38 33 Téléphone : 01 60 67 78 72|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",https://twitter.com/ChJacob77|http://www.deputes-les-republicains.fr,ChJacob77,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1695,https://www.nosdeputes.fr/christian-jacob
721984,Latombe,Philippe,H,85,1,MODEM,philippe.latombe@assemblee-nationale.fr,philippelatombe.enmarche85@gmail.com,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.92.11|BP 50364 85303 CHALLANS CEDEX 3",https://twitter.com/platombe,platombe,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA721984,https://www.nosdeputes.fr/philippe-latombe
332523,Dalloz,Marie-Christine,F,39,2,LR,marie-christine.dalloz@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|63 Rue du Collège 39200 Saint-Claude Téléphone : 03 84 45 11 14|2 Rue du Général Leclerc 39300 Champagnole Téléphone : 03 84 52 05 13",http://www.mcdalloz.fr|https://fr-fr.facebook.com/mariechristinedalloz/,,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA332523,https://www.nosdeputes.fr/marie-christine-dalloz
642847,Bazin,Thibault,H,54,4,LR,thibault.bazin@assemblee-nationale.fr,,,"17 Rue Carnot 54300 Lunéville Téléphone : 03 83 73 79 58|Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.thibaultbazin.fr|https://twitter.com/thibault_bazin,thibault_bazin,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA642847,https://www.nosdeputes.fr/thibault-bazin
718744,Bagarry,Delphine,F,04,1,LREM,dbagarry@delphinebagarry.fr,delphine.bagarry@assemblee-nationale.fr,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP Téléphone : 01.40.63.68.06",http://www.delphinebagarry.fr|https://fr-fr.facebook.com/delphinebagarry04/|https://twitter.com/DBagarry,DBagarry,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA718744,https://www.nosdeputes.fr/delphine-bagarry
342935,Dubois,Marianne,F,45,5,LR,marianne.dubois@assemblee-nationale.fr,mduboisdepute45@orange.fr,,Permanence parlementaire 6 Rue des Rouloirs BP 51014 45305 Pithiviers Cedex Téléphone : 02 38 30 53 67|Assemblée nationale 126 Rue de l'Université 75355 Paris O7 SP,http://www.marianne-dubois.fr|https://fr-fr.facebook.com/DuboisMarianne/|https://twitter.com/DuboisMarianne|http://www.marianne2017.fr,DuboisMarianne,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA342935,https://www.nosdeputes.fr/marianne-dubois
267794,Tabarot,Michèle,F,06,9,LR,michele.tabarot@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP|Permanence de Pégomas 56 Place du Logis 06580 Pégomas Téléphone : 04 93 42 61 23|Mairie, 20 Boulevard Sadi Carnot, 06110 Le Cannet Téléphone : 04 92 18 21 00",https://twitter.com/MTabarot|http://www.micheletabarot.fr,MTabarot,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA267794,https://www.nosdeputes.fr/michele-tabarot
2150,Mélenchon,Jean-Luc,H,13,4,LFI,jean-luc.melenchon@assemblee-nationale.fr,,,"Assemblée nationale, 126 Rue de l'Université, 75355 Paris 07 SP",http://www.melenchon.fr|https://fr-fr.facebook.com/jlmelenchon/|https://twitter.com/jlmelenchon,jlmelenchon,http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA2150,https://www.nosdeputes.fr/jean-luc-melenchon
